id,fonte,titulo,empresa,descricao,requisitos,senioridade,area,remoto,fit_percentual,url,data_coleta,origem_coleta
84,Adzuna,Auxiliar Administrativo,,Auxiliar Administrativo - - auxílio no lançamentos de notas fiscais - auxílio no lançamentos de OS - auxílio no controle de estoque - auxílio no administrativo - auxílio no contas a pagar e a receber - auxílio nos orçamentos - E demais atividades pertinentes a função,,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5800455691?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
85,Adzuna,COORDENADOR (A) DE CALL CENTER,ST Serviços Empresariais,"Descrição da Empresa ST Serviços Empresariais é uma empresa localizada em Porto Alegre, Brasil. Atuamos no segmento corporativo, oferecendo soluções personalizadas e eficientes para atender às necessidades dos nossos clientes. Somos reconhecidos pela excelência no atendimento e pela busca contínua por inovação e qualidade. Nosso objetivo é promover o crescimento sustentável e o sucesso de nossos parceiros de negócio. Descrição do Cargo Procuramos um Coordenador (a) de Call Center para liderar e…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/land/ad/5700088168?se=KAGszmmB8RGnGfZ-Vm2jGw&utm_medium=api&utm_source=17cb7e5a&v=831F2C71C94253D1D56C6EF2657D919718EB08B3,2026-07-16,API Adzuna
86,Adzuna,Coordenador(a) de Atendimento (Call Center) - Petz,Petz,"Sobre o Papel Responsável pela gestão e desenvolvimento da liderança operacional, promovendo o crescimento profissional das equipes e garantindo a aderência às estratégias da área. Responsabilidades Acompanhar e analisar indicadores de desempenho, produtividade, qualidade e níveis de serviço, assegurando o cumprimento das metas estabelecidas. Atuar na orientação, engajamento e desenvolvimento das equipes, promovendo um ambiente de alta performance e foco na experiência do cliente. Identificar o…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/land/ad/5768012041?se=KAGszmmB8RGnGfZ-Vm2jGw&utm_medium=api&utm_source=17cb7e5a&v=79323C93B1827E1CE859FDDA1BA94A0FEF9FE39E,2026-07-16,API Adzuna
87,Adzuna,Atendente de Call Center - Chat e Libras,Banco Daycoval,"Procuramos um profissional para se juntar a nossa equipe de suporte e construir relacionamentos duradouros com nossos clientes que buscam Serviço de Atendimento ao Cliente (SAC). É a nossa área responsável por gerenciar e responder às perguntas e problemas dos clientes do Grupo Daycoval. Os desafios comuns nessa área incluem lidar com clientes insatisfeitos, garantir a resolução rápida e eficaz de problemas e manter altos padrões de atendimento ao cliente. Além disso, é importante manter-se atu…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/land/ad/5772148571?se=KAGszmmB8RGnGfZ-Vm2jGw&utm_medium=api&utm_source=17cb7e5a&v=91BB629C297444FBAA8CD6C86040E1915BF2B322,2026-07-16,API Adzuna
88,Adzuna,Supervisor(a) de atendimento em Call Center - São Paulo/SP,Empresa Confidencial,"Sobre a Empresa Empresa varejista contrata. Sobre o Papel Responsável por garantir atendimento ao cliente de forma eficaz, ágil e resolutiva, conforme critérios de qualidade definidos pela Diretoria. Através da supervisão de equipes de tele atendimento visa maximizar a produtividade, controla os indicadores e implementa ações táticas para atingimento dos indicadores. Responsabilidades Supervisionar equipes de atendimento dando suporte aos atendentes em todas as etapas de atendimento (1º nível, …",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/land/ad/5770810710?se=KAGszmmB8RGnGfZ-Vm2jGw&utm_medium=api&utm_source=17cb7e5a&v=560587CAE9C859685B7C3A0F8D98C7DC26099998,2026-07-16,API Adzuna
89,Adzuna,TELEMARKETING - TELEMARKETING/ CALL CENTER,Real Time Big Data,"Área e especialização profissional: Telemarketing - Telemarketing / Call Center Ativo Nível hierárquico: Operacional Local de trabalho: Goiânia, GO Regime de contratação de tipo Efetivo – CLT Jornada Parcial manhãs VAGA: ATENDENTE DE CALL CENTER PESQUISA DE OPINIÃO (PRESENCIAL) A empresa Atuamos com pesquisas de opinião pública, realizando a coleta de dados para estudos de mercado, análise de comportamento e avaliação de serviços. Atribuições do cargo O profissional será responsável por conduzi…",,Não identificado,Fora de Area,Não,10,https://www.adzuna.com.br/details/5744379981?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
90,Adzuna,Telemarketing / Call Center,CREDBANK SOLUÇÕES FINANCEIRAS,"VAGA DE CALL CENTER: Ambos os SEXOS, ensino médio completo, ter boa comunicação, não é necessário ter experiência. Experiência na área será um diferencial Informações complementares: - Horário comercial: 9:00 as 18:00hs - Sábado : 9:00 as 12:00 hrs - Local: Centro (Londrina) - Ter experiência em atendimento ao publico - VAGA DISPONIVEL PARA MORADORES DE LONDRINA E REGIÃO Tipo de vaga: Tempo integral, Efetivo CLT, Autônomo / PJ Duração do contrato: 12 meses Pagamento: R$1.800,00 - R$4.100,00 por…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5803761320?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
91,Adzuna,Telemarketing / Call Center,NOVA GESTÕES SERVIÇO DE COBRANÇA EXTRA JUDICIAL LTDA,"Descrição da Vaga Vaga para recuperador de crédito presencial, para atuar no ramo de cobrança de produtos bancários. Horário de Segunda a Sexta feira, das 09:00 às 17:30 hs. Necessário, boa apresentação, ser comunicativo, e ter vontade de aprender e crescer, esta cursando ou finalizado o ensino médio, experiência na área de atendimento ao cliente será um diferencial. Dados da Vaga: Salário R$ 1412,00 ( Experiência ), após à experiência R$ 1.470,00  probabilidade do Bônus por assiduídade de R$ 1…",,Não identificado,Fora de Area,Não,10,https://www.adzuna.com.br/details/5801721265?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
92,Adzuna,Telemarketing / Call Center,12093588000154,"Cargo: Vendedor - Call Center Localização: João Alencar Guimarães, 213 - Santa Quitéria Salário: R$ 1.631,00  bonificações (sem limite máximo) Benefícios: - Vale-transporte: 2 passagens por dia - Vale-refeição: R$ 28,00 por dia - Parceria com PUC, clinicas de estética entre outros. - Convenio farmácia, planos de saúde e odonto. - Seguro de vida - Plano de carreira Horário: Segunda a Sexta-feira, das 08h às 18h Requisitos: - Disciplina e Organização: Capacidade de manter o foco e seguir processo…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5801672160?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
93,Adzuna,Telemarketing / Call Center,Word easy serviços e investimentos Ltda,"PRECISO DE VENDEDORES PARA INICIO IMEDIATO Requisitos: - Ensino Médio Completo - Saber trabalhar em equipe - Comunicativo - Proativo - Flexibilidade de Horário Benefícios: - Com ou sem experiência - Plano de Carreira - Melhor Comissionamento do Mercado - Vale Transporte - Treinamentos Semanais - Bonificações por meta batida - Suporte Jurídico VAGAS PARA VENDEDOR INÍCIO IMEDIATO! Tipo de vaga: Tempo integral, Efetivo CLT Pagamento: R$1.450,00 - R$3.500,00 por mês Benefícios: - Celular da empresa…",,Não identificado,Fora de Area,Não identificado,10,https://www.adzuna.com.br/details/5803682343?utm_medium=api&utm_source=17cb7e5a,2026-07-16,API Adzuna
